GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StateCommand,43,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StartCommandTest,72,5,0,0,26,3,7,3,7,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DeployManagerAuthenticationCallback.new Object() {...},2,17,0,0,0,1,0,1,0,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StopCommand,34,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallbackTest,51,5,0,0,17,3,4,3,4,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,CommandTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DisableDebuggingCommandTest,82,5,0,0,30,3,8,3,8,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,CommandFactory,3,64,0,13,1,14,1,13,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallback.new Object() {...},2,17,0,0,0,1,0,1,0,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,AppCommandTest,199,5,0,0,67,3,12,3,12,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,UndeployCommandTest,152,5,0,0,58,3,15,3,15,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,ExitCommand,11,3,0,0,5,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,UndeployCommand,95,3,6,0,16,2,5,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,EnableDebuggingCommand,70,3,0,0,16,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,CommandFactoryTest,20,101,0,0,6,51,2,15,2,15
JaCoCo Ant Example,com.sap.netweaver.porta.mon,EnableDebuggingCommandTest,72,5,0,0,26,3,7,3,7,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,Command,0,7,0,0,0,2,0,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DisableDebuggingCommand,45,3,0,0,11,1,2,1,2,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,PortaMonTest,50,32,0,0,20,18,7,8,7,8
JaCoCo Ant Example,com.sap.netweaver.porta.mon,AppCommand,48,3,6,0,9,1,6,1,3,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,ListAppsCommand,139,3,2,0,29,1,2,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DeployCommandTest,112,5,0,0,42,3,11,3,11,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,RestartCommand,34,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,UndeployCommand.new Object() {...},26,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,com.sap.netweaver.porta.mon,ListAppsCommandTest,82,5,0,0,30,3,8,3,8,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StateCommandTest,72,5,0,0,26,3,7,3,7,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StartAppCommandTest,122,5,0,0,46,3,12,3,12,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,RestartCommandTest,72,5,0,0,26,3,7,3,7,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StartCommand,34,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallback,28,12,2,1,8,5,2,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StartAppCommand,57,3,2,0,13,1,2,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DeployCommand.new Object() {...},26,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StopAppCommand,57,3,2,0,13,1,2,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DeployManagerAuthenticationCallback,28,12,2,1,8,5,2,2,0,2
JaCoCo Ant Example,com.sap.netweaver.porta.mon,PortaMon,205,46,10,0,65,16,11,8,6,8
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StopCommandTest,72,5,0,0,26,3,7,3,7,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DeployCommand,92,3,4,0,14,2,5,1,2,1
JaCoCo Ant Example,com.sap.netweaver.porta.mon,DeployManagerAuthenticationCallbackTest,51,5,0,0,17,3,4,3,4,3
JaCoCo Ant Example,com.sap.netweaver.porta.mon,StopAppCommandTest,122,5,0,0,46,3,12,3,12,3
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,CIMObject,56,227,27,17,10,56,20,14,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,PropertyTest,141,150,0,0,39,52,9,14,9,14
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationArgumentsTest,141,150,0,0,39,52,9,14,9,14
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationCodeTest,45,143,0,0,12,58,3,16,3,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,OperationResultTest,260,139,0,0,68,47,16,13,16,13
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseComponentTest,347,51,0,0,89,21,21,7,21,7
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ResponseMessageTest,141,150,0,0,39,52,9,14,9,14
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseStatus,2,123,1,3,0,29,1,13,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceIdentifierTest,116,117,0,0,34,43,8,12,8,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_ServiceLocatorTest,384,155,0,0,129,59,19,13,19,13
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperation,62,189,25,13,11,47,21,10,2,10
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceTypeTest,45,143,0,0,12,58,3,16,3,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseStatusTest,45,143,0,0,12,58,3,16,3,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,OperationOptions,35,207,17,13,6,51,13,14,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceServiceOperationTest,246,70,0,0,60,26,14,8,14,8
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationArguments,14,217,11,21,2,52,10,18,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationTest,347,51,0,0,89,21,21,7,21,7
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,SAPInstanceTest,178,228,0,0,44,70,10,18,10,18
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,OperationExceptionTest,531,364,0,0,118,93,19,18,19,18
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,SAPInstance,14,345,17,35,2,78,16,26,0,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,Property,14,217,11,21,2,52,10,18,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_BindingStub,1808,3179,142,34,480,576,86,29,1,26
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceOptionsFlags,6,109,2,2,0,27,2,12,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,CIMAttribute,14,281,14,28,2,65,13,22,0,14
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,CancelOperationType,2,93,1,3,0,23,1,13,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,OperationCode,2,98,1,3,0,24,1,13,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_BindingStubTest,2508,79,0,0,590,26,105,9,105,9
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceStatusTest,45,143,0,0,12,58,3,16,3,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,OperationOptionsTest,269,126,0,0,72,43,17,12,17,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceIdentifier,14,153,8,14,2,39,7,14,0,10
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationCode,2,103,1,3,0,25,1,13,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,TargetService,55,170,21,11,8,44,18,10,2,10
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceType,2,98,1,3,0,24,1,13,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,OperationException,41,338,27,23,6,80,21,21,0,17
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,ResponseMessage,14,217,11,21,2,52,10,18,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,OperationResult,35,219,18,20,6,53,14,17,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceStatus,2,98,1,3,0,24,1,13,0,12
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,Database,99,239,39,15,17,59,30,11,3,11
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceSelectorTest,218,70,0,0,60,26,14,8,14,8
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_ServiceTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,CIMObjectTest,315,147,0,0,79,47,19,13,19,13
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,TargetServiceTest,246,70,0,0,60,26,14,8,14,8
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseComponent,68,183,27,11,11,47,21,10,2,10
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceSelector,55,173,21,11,8,45,18,10,2,10
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,OperationCodeTest,45,143,0,0,12,58,3,16,3,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceOptionsFlagsTest,45,143,0,0,12,58,3,16,3,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,CancelOperationTypeTest,45,143,0,0,12,58,3,16,3,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseTest,517,51,0,0,119,21,28,7,28,7
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControlInterfaceTest,17,0,0,0,5,0,4,0,4,0
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,CIMAttributeTest,168,187,0,0,44,61,10,16,10,16
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceServiceOperation,55,170,21,11,8,44,18,10,2,10
JaCoCo Ant Example,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_ServiceLocator,90,119,7,5,23,29,9,12,4,11
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.axis.proxy,AxisTransportClientPropertiesTest,12,105,0,0,2,43,1,13,1,13
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.axis.proxy,AxisTransportClientProperties,6,42,5,5,0,11,5,6,0,6
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,NoWSGateDialog.new FocusAdapter() {...},15,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,LoginDialog,155,0,2,0,38,0,6,0,5,0
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,NoWSGateDialogTest,203,5,0,0,38,3,8,3,8,3
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,LoginDialogTest,156,5,0,0,35,3,7,3,7,3
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,PublishProblemDialogTest,90,5,0,0,17,3,4,3,4,3
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,NoWSGateDialog,168,0,2,0,32,0,6,0,5,0
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,PublishProblemDialog.new Object() {...},19,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,PublishProblemDialog,152,0,7,0,31,0,9,0,5,0
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetJ2EEGetProcessList,58,13,2,0,7,3,2,2,1,2
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetPing,29,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetGetProcessListTest,42,12,0,0,17,6,6,4,6,4
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetGetSystemName,37,3,0,0,8,1,1,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetGetSystemNameTest,30,12,0,0,11,6,4,4,4,4
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetGetHttpAccessPointTest,30,5,0,0,11,3,4,3,4,3
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetServerFactory,67,0,0,0,13,0,2,0,2,0
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstance,99,13,8,0,21,3,7,2,3,2
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetUseDeployManager,51,43,1,3,17,11,3,4,2,3
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetFindJ2EEInstance,106,13,6,0,11,3,4,2,1,2
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetPingTest,30,12,0,0,11,6,4,4,4,4
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallbackTest,108,12,0,0,50,6,17,4,17,4
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetFindJ2EEInstanceTest,66,12,0,0,29,6,10,4,10,4
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetServerFactoryTest,36,5,0,0,14,3,5,3,5,3
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetStartStopServerTest,108,5,0,0,50,3,17,3,17,3
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer.AuthCallback,47,0,3,0,13,0,4,0,2,0
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceTest,54,12,0,0,23,6,8,4,8,4
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetGetProcessList,58,13,2,0,7,3,2,2,1,2
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer,79,0,4,0,26,0,4,0,2,0
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback,139,19,14,0,34,5,10,3,3,3
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetGetHttpAccessPoint,30,0,0,0,8,0,2,0,2,0
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetUseDeployManagerTest,18,51,0,0,5,21,2,7,2,7
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback.AuthCallback,44,3,3,0,12,1,3,1,1,1
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetGetApplicationsTest,60,12,0,0,26,6,9,4,9,4
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer.new Object() {...},19,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback.new Object() {...},19,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetJ2EEGetProcessListTest,42,12,0,0,17,6,6,4,6,4
JaCoCo Ant Example,com.sap.netweaver.porta.core.snippets,SnippetGetApplications,86,25,4,0,11,7,3,3,1,3
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.util,ProxyUtilCaller,42,0,0,0,8,0,2,0,2,0
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.util,FacetUtil,16,3,0,0,5,1,2,1,2,1
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.util,ProxyUtilCallerTest,68,5,0,0,23,3,8,3,8,3
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.util,ProxyUtilTest,60,5,0,0,20,3,7,3,7,3
JaCoCo Ant Example,com.sap.netweaver.porta.ide.eclipse.util,FacetUtilTest,51,12,0,0,19,6,4,4,4,4
